id_dat,value,crep_id,create_date
1,253,1,2023-06-02 18:21:27.857834
2,153,1,2023-06-02 18:21:27.857834
3,121,1,2023-06-02 18:21:27.857834
4,164,1,2023-06-02 18:21:27.857834
5,14,1,2023-06-02 18:21:27.857834
6,328,1,2023-06-02 18:21:27.857834
7,113,1,2023-06-02 18:21:27.857834
8,226,1,2023-06-02 18:21:27.857834
9,341,1,2023-06-02 18:21:27.857834
10,91,1,2023-06-02 18:21:27.857834
11,279,1,2023-06-02 18:21:27.857834
12,282,1,2023-06-02 18:21:27.857834
13,194,1,2023-06-02 18:21:27.857834
14,272,1,2023-06-02 18:21:27.857834
15,108,1,2023-06-02 18:21:27.857834
1,329,2,2023-06-02 18:21:27.860825
2,154,2,2023-06-02 18:21:27.860825
3,294,2,2023-06-02 18:21:27.860825
4,231,2,2023-06-02 18:21:27.860825
5,277,2,2023-06-02 18:21:27.860825
6,183,2,2023-06-02 18:21:27.860825
7,75,2,2023-06-02 18:21:27.860825
8,170,2,2023-06-02 18:21:27.860825
9,287,2,2023-06-02 18:21:27.860825
10,322,2,2023-06-02 18:21:27.860825
11,47,2,2023-06-02 18:21:27.860825
12,240,2,2023-06-02 18:21:27.860825
13,46,2,2023-06-02 18:21:27.860825
14,118,2,2023-06-02 18:21:27.860825
15,212,2,2023-06-02 18:21:27.860825
1,4,3,2023-06-02 18:21:27.861820
2,38,3,2023-06-02 18:21:27.861820
3,16,3,2023-06-02 18:21:27.861820
4,89,3,2023-06-02 18:21:27.861820
5,159,3,2023-06-02 18:21:27.861820
6,170,3,2023-06-02 18:21:27.861820
7,285,3,2023-06-02 18:21:27.861820
8,156,3,2023-06-02 18:21:27.861820
9,167,3,2023-06-02 18:21:27.861820
10,247,3,2023-06-02 18:21:27.861820
11,232,3,2023-06-02 18:21:27.861820
12,225,3,2023-06-02 18:21:27.861820
13,242,3,2023-06-02 18:21:27.861820
14,208,3,2023-06-02 18:21:27.861820
15,146,3,2023-06-02 18:21:27.861820
1,187,4,2023-06-02 18:21:27.862817
2,155,4,2023-06-02 18:21:27.862817
3,164,4,2023-06-02 18:21:27.862817
4,304,4,2023-06-02 18:21:27.862817
5,258,4,2023-06-02 18:21:27.862817
6,218,4,2023-06-02 18:21:27.862817
7,68,4,2023-06-02 18:21:27.862817
8,189,4,2023-06-02 18:21:27.862817
9,86,4,2023-06-02 18:21:27.862817
10,20,4,2023-06-02 18:21:27.862817
11,190,4,2023-06-02 18:21:27.862817
12,123,4,2023-06-02 18:21:27.862817
13,94,4,2023-06-02 18:21:27.862817
14,127,4,2023-06-02 18:21:27.862817
15,343,4,2023-06-02 18:21:27.862817
1,210,5,2023-06-02 18:21:27.868798
2,257,5,2023-06-02 18:21:27.868798
3,88,5,2023-06-02 18:21:27.868798
4,126,5,2023-06-02 18:21:27.868798
5,139,5,2023-06-02 18:21:27.868798
6,108,5,2023-06-02 18:21:27.868798
7,283,5,2023-06-02 18:21:27.868798
8,320,5,2023-06-02 18:21:27.868798
9,215,5,2023-06-02 18:21:27.868798
10,132,5,2023-06-02 18:21:27.868798
11,74,5,2023-06-02 18:21:27.868798
12,309,5,2023-06-02 18:21:27.868798
13,316,5,2023-06-02 18:21:27.868798
14,83,5,2023-06-02 18:21:27.868798
15,181,5,2023-06-02 18:21:27.868798
1,55,6,2023-06-02 18:21:27.871787
2,48,6,2023-06-02 18:21:27.871787
3,219,6,2023-06-02 18:21:27.871787
4,72,6,2023-06-02 18:21:27.871787
5,323,6,2023-06-02 18:21:27.871787
6,217,6,2023-06-02 18:21:27.871787
7,234,6,2023-06-02 18:21:27.871787
8,45,6,2023-06-02 18:21:27.871787
9,239,6,2023-06-02 18:21:27.871787
10,344,6,2023-06-02 18:21:27.871787
11,222,6,2023-06-02 18:21:27.871787
12,86,6,2023-06-02 18:21:27.871787
13,333,6,2023-06-02 18:21:27.871787
14,149,6,2023-06-02 18:21:27.871787
15,197,6,2023-06-02 18:21:27.871787
1,141,7,2023-06-02 18:21:27.874778
2,317,7,2023-06-02 18:21:27.874778
3,118,7,2023-06-02 18:21:27.874778
4,254,7,2023-06-02 18:21:27.874778
5,11,7,2023-06-02 18:21:27.874778
6,192,7,2023-06-02 18:21:27.874778
7,31,7,2023-06-02 18:21:27.874778
8,108,7,2023-06-02 18:21:27.874778
